Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustPCA,D-Alternativo,0.8857,0.1,0.0982,CrisisEpileptica,1.0,20,260,eeg
RobustPCA,D-Alternativo,0.8857,0.1,0.0982,PopElectrodo,1.0,20,260,eeg
RobustPCA,D-Alternativo,0.8857,0.1,0.0982,ArtefactoMuscular,0.75,20,260,eeg
RobustPCA,D-Alternativo,0.8857,0.1,0.0982,SupresionBrote,0.9,20,260,eeg
RobustPCA,D-Alternativo,0.8857,0.1,0.0982,CanalDesconectado,0.55,20,260,eeg
RobustPCA,D-Alternativo,0.8857,0.1,0.0982,ParpadeoOcular,1.0,20,260,eeg
RobustPCA,D-Alternativo,0.8857,0.1,0.0982,InterferenciaRed,1.0,20,260,eeg
Conformal,D-Alternativo,0.8571,0.1,0.8879,CrisisEpileptica,1.0,20,260,eeg
Conformal,D-Alternativo,0.8571,0.1,0.8879,PopElectrodo,1.0,20,260,eeg
Conformal,D-Alternativo,0.8571,0.1,0.8879,ArtefactoMuscular,0.65,20,260,eeg
Conformal,D-Alternativo,0.8571,0.1,0.8879,SupresionBrote,0.9,20,260,eeg
Conformal,D-Alternativo,0.8571,0.1,0.8879,CanalDesconectado,0.45,20,260,eeg
Conformal,D-Alternativo,0.8571,0.1,0.8879,ParpadeoOcular,1.0,20,260,eeg
Conformal,D-Alternativo,0.8571,0.1,0.8879,InterferenciaRed,1.0,20,260,eeg
SigKernel_d2,Signatures,0.1929,0.1,0.5595,CrisisEpileptica,0.15,20,260,eeg
SigKernel_d2,Signatures,0.1929,0.1,0.5595,PopElectrodo,0.05,20,260,eeg
SigKernel_d2,Signatures,0.1929,0.1,0.5595,ArtefactoMuscular,0.0,20,260,eeg
SigKernel_d2,Signatures,0.1929,0.1,0.5595,SupresionBrote,0.0,20,260,eeg
SigKernel_d2,Signatures,0.1929,0.1,0.5595,CanalDesconectado,0.15,20,260,eeg
SigKernel_d2,Signatures,0.1929,0.1,0.5595,ParpadeoOcular,0.0,20,260,eeg
SigKernel_d2,Signatures,0.1929,0.1,0.5595,InterferenciaRed,1.0,20,260,eeg
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,CrisisEpileptica,1.0,20,260,eeg
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,PopElectrodo,1.0,20,260,eeg
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,ArtefactoMuscular,1.0,20,260,eeg
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,SupresionBrote,1.0,20,260,eeg
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,CanalDesconectado,1.0,20,260,eeg
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,ParpadeoOcular,1.0,20,260,eeg
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,InterferenciaRed,1.0,20,260,eeg
