Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
LOF,B-Clustering,0.8429,0.1,0.0183,RuidoElectronico,0.95,20,300,ambiental
LOF,B-Clustering,0.8429,0.1,0.0183,DesacopleCanales,1.0,20,300,ambiental
LOF,B-Clustering,0.8429,0.1,0.0183,RafagaMuestreo,1.0,20,300,ambiental
OPTICS,B-Clustering,1.0,0.05,0.0,SaltoCalibracion,1.0,20,300,ambiental
OPTICS,B-Clustering,1.0,0.05,0.0,DerivaSensor,1.0,20,300,ambiental
OPTICS,B-Clustering,1.0,0.05,0.0,SensorCongelado,1.0,20,300,ambiental
OPTICS,B-Clustering,1.0,0.05,0.0,PicoTransitorio,1.0,20,300,ambiental
OPTICS,B-Clustering,1.0,0.05,0.0,RuidoElectronico,1.0,20,300,ambiental
OPTICS,B-Clustering,1.0,0.05,0.0,DesacopleCanales,1.0,20,300,ambiental
OPTICS,B-Clustering,1.0,0.05,0.0,RafagaMuestreo,1.0,20,300,ambiental
IForest,C-ML,0.4643,0.1,0.633,SaltoCalibracion,0.35,20,300,ambiental
IForest,C-ML,0.4643,0.1,0.633,DerivaSensor,0.65,20,300,ambiental
IForest,C-ML,0.4643,0.1,0.633,SensorCongelado,0.05,20,300,ambiental
IForest,C-ML,0.4643,0.1,0.633,PicoTransitorio,0.2,20,300,ambiental
IForest,C-ML,0.4643,0.1,0.633,RuidoElectronico,0.65,20,300,ambiental
IForest,C-ML,0.4643,0.1,0.633,DesacopleCanales,0.6,20,300,ambiental
IForest,C-ML,0.4643,0.1,0.633,RafagaMuestreo,0.75,20,300,ambiental
OCSVM,C-ML,0.8357,0.1,0.2629,SaltoCalibracion,0.75,20,300,ambiental
OCSVM,C-ML,0.8357,0.1,0.2629,DerivaSensor,0.9,20,300,ambiental
OCSVM,C-ML,0.8357,0.1,0.2629,SensorCongelado,0.4,20,300,ambiental
OCSVM,C-ML,0.8357,0.1,0.2629,PicoTransitorio,1.0,20,300,ambiental
OCSVM,C-ML,0.8357,0.1,0.2629,RuidoElectronico,0.95,20,300,ambiental
OCSVM,C-ML,0.8357,0.1,0.2629,DesacopleCanales,0.9,20,300,ambiental
OCSVM,C-ML,0.8357,0.1,0.2629,RafagaMuestreo,0.95,20,300,ambiental
Autoencoder,C-ML,0.9714,0.1,0.0416,SaltoCalibracion,0.95,20,300,ambiental
Autoencoder,C-ML,0.9714,0.1,0.0416,DerivaSensor,1.0,20,300,ambiental
Autoencoder,C-ML,0.9714,0.1,0.0416,SensorCongelado,0.85,20,300,ambiental
Autoencoder,C-ML,0.9714,0.1,0.0416,PicoTransitorio,1.0,20,300,ambiental
Autoencoder,C-ML,0.9714,0.1,0.0416,RuidoElectronico,1.0,20,300,ambiental
