Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
RobustPCA,D-Alternativo,0.7357,0.1,0.0728,FugaMemoria,0.75,20,320,it
RobustPCA,D-Alternativo,0.7357,0.1,0.0728,CaidaServicio,0.5,20,320,it
RobustPCA,D-Alternativo,0.7357,0.1,0.0728,CriptoMineria,1.0,20,320,it
RobustPCA,D-Alternativo,0.7357,0.1,0.0728,EscaneoPuertos,0.6,20,320,it
RobustPCA,D-Alternativo,0.7357,0.1,0.0728,Exfiltracion,0.3,20,320,it
RobustPCA,D-Alternativo,0.7357,0.1,0.0728,DegradacionDisco,1.0,20,320,it
Conformal,D-Alternativo,0.7643,0.1,0.8904,DDoS,1.0,20,320,it
Conformal,D-Alternativo,0.7643,0.1,0.8904,FugaMemoria,1.0,20,320,it
Conformal,D-Alternativo,0.7643,0.1,0.8904,CaidaServicio,0.65,20,320,it
Conformal,D-Alternativo,0.7643,0.1,0.8904,CriptoMineria,1.0,20,320,it
Conformal,D-Alternativo,0.7643,0.1,0.8904,EscaneoPuertos,0.5,20,320,it
Conformal,D-Alternativo,0.7643,0.1,0.8904,Exfiltracion,0.2,20,320,it
Conformal,D-Alternativo,0.7643,0.1,0.8904,DegradacionDisco,1.0,20,320,it
SigKernel_d2,Signatures,0.2643,0.1,0.7195,DDoS,0.2,20,320,it
SigKernel_d2,Signatures,0.2643,0.1,0.7195,FugaMemoria,0.8,20,320,it
SigKernel_d2,Signatures,0.2643,0.1,0.7195,CaidaServicio,0.0,20,320,it
SigKernel_d2,Signatures,0.2643,0.1,0.7195,CriptoMineria,0.05,20,320,it
SigKernel_d2,Signatures,0.2643,0.1,0.7195,EscaneoPuertos,0.15,20,320,it
SigKernel_d2,Signatures,0.2643,0.1,0.7195,Exfiltracion,0.2,20,320,it
SigKernel_d2,Signatures,0.2643,0.1,0.7195,DegradacionDisco,0.45,20,320,it
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,DDoS,1.0,20,320,it
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,FugaMemoria,1.0,20,320,it
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,CaidaServicio,1.0,20,320,it
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,CriptoMineria,1.0,20,320,it
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,EscaneoPuertos,1.0,20,320,it
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,Exfiltracion,1.0,20,320,it
SigMaHaKNN_d2_k3,Signatures,1.0,0.1,0.0,DegradacionDisco,1.0,20,320,it
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,DDoS,1.0,20,320,it
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,FugaMemoria,1.0,20,320,it
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,CaidaServicio,1.0,20,320,it
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,CriptoMineria,1.0,20,320,it
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,EscaneoPuertos,1.0,20,320,it
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,Exfiltracion,1.0,20,320,it
SigMaHaKNN_d2_k10,Signatures,1.0,0.1,0.0,DegradacionDisco,1.0,20,320,it
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0016,DDoS,1.0,20,320,it
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0016,FugaMemoria,1.0,20,320,it
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0016,CaidaServicio,1.0,20,320,it
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0016,CriptoMineria,1.0,20,320,it
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0016,EscaneoPuertos,1.0,20,320,it
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0016,Exfiltracion,1.0,20,320,it
SigMaHaKNN_d2_k20,Signatures,1.0,0.1,0.0016,DegradacionDisco,1.0,20,320,it
SigKernel_d3,Signatures,0.4,0.1,0.6042,DDoS,0.5,20,320,it
SigKernel_d3,Signatures,0.4,0.1,0.6042,FugaMemoria,0.9,20,320,it
SigKernel_d3,Signatures,0.4,0.1,0.6042,CaidaServicio,0.0,20,320,it
SigKernel_d3,Signatures,0.4,0.1,0.6042,CriptoMineria,0.5,20,320,it
SigKernel_d3,Signatures,0.4,0.1,0.6042,EscaneoPuertos,0.2,20,320,it
SigKernel_d3,Signatures,0.4,0.1,0.6042,Exfiltracion,0.25,20,320,it
SigKernel_d3,Signatures,0.4,0.1,0.6042,DegradacionDisco,0.45,20,320,it
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,DDoS,1.0,20,320,it
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,FugaMemoria,1.0,20,320,it
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,CaidaServicio,1.0,20,320,it
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,CriptoMineria,1.0,20,320,it
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,EscaneoPuertos,1.0,20,320,it
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,Exfiltracion,1.0,20,320,it
SigMaHaKNN_d3_k3,Signatures,1.0,0.1,0.0,DegradacionDisco,1.0,20,320,it
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,DDoS,1.0,20,320,it
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,FugaMemoria,1.0,20,320,it
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,CaidaServicio,1.0,20,320,it
SigMaHaKNN_d3_k10,Signatures,1.0,0.1,0.0,CriptoMineria,1.0,20,320,it
