casa_idx,tipo,detector,familia,score_raw,score_norm,tau_norm,detectado
3,FlipSchedule,GMM,A-Estadistico,0.157891,0.0,0.968504,False
3,SuddenDrop,GMM,A-Estadistico,0.181408,0.0,0.968504,False
3,SyntheticNoise,GMM,A-Estadistico,0.049369,0.0,0.968504,False
3,FlatLine,GMM,A-Estadistico,0.042368,0.0,0.968504,False
3,SpikeEvent,GMM,A-Estadistico,0.04877,0.0,0.968504,False
4,normal,GMM,A-Estadistico,0.0,0.0,0.968504,False
4,PartialBypass,GMM,A-Estadistico,0.114346,0.0,0.968504,False
4,Smoothing,GMM,A-Estadistico,0.024412,0.0,0.968504,False
4,FlipSchedule,GMM,A-Estadistico,0.119597,0.0,0.968504,False
4,SuddenDrop,GMM,A-Estadistico,0.201788,0.0,0.968504,False
4,SyntheticNoise,GMM,A-Estadistico,0.00078,0.0,0.968504,False
4,FlatLine,GMM,A-Estadistico,0.011635,0.0,0.968504,False
4,SpikeEvent,GMM,A-Estadistico,0.058559,0.0,0.968504,False
5,normal,GMM,A-Estadistico,0.026874,0.0,0.968504,False
5,PartialBypass,GMM,A-Estadistico,0.072635,0.0,0.968504,False
5,Smoothing,GMM,A-Estadistico,0.02989,0.0,0.968504,False
5,FlipSchedule,GMM,A-Estadistico,0.053274,0.0,0.968504,False
5,SuddenDrop,GMM,A-Estadistico,0.212046,0.0,0.968504,False
5,SyntheticNoise,GMM,A-Estadistico,0.020563,0.0,0.968504,False
5,FlatLine,GMM,A-Estadistico,0.081955,0.0,0.968504,False
5,SpikeEvent,GMM,A-Estadistico,0.060536,0.0,0.968504,False
6,normal,GMM,A-Estadistico,0.010417,0.0,0.968504,False
6,PartialBypass,GMM,A-Estadistico,0.052883,0.0,0.968504,False
6,Smoothing,GMM,A-Estadistico,0.003628,0.0,0.968504,False
6,FlipSchedule,GMM,A-Estadistico,0.245111,0.037237,0.968504,False
6,SuddenDrop,GMM,A-Estadistico,0.198977,0.0,0.968504,False
6,SyntheticNoise,GMM,A-Estadistico,0.010411,0.0,0.968504,False
6,FlatLine,GMM,A-Estadistico,0.048682,0.0,0.968504,False
6,SpikeEvent,GMM,A-Estadistico,0.025218,0.0,0.968504,False
7,normal,GMM,A-Estadistico,0.121738,0.0,0.968504,False
7,PartialBypass,GMM,A-Estadistico,0.105127,0.0,0.968504,False
7,Smoothing,GMM,A-Estadistico,0.039742,0.0,0.968504,False
7,FlipSchedule,GMM,A-Estadistico,0.342812,0.161974,0.968504,False
7,SuddenDrop,GMM,A-Estadistico,0.208227,0.0,0.968504,False
7,SyntheticNoise,GMM,A-Estadistico,0.098371,0.0,0.968504,False
7,FlatLine,GMM,A-Estadistico,0.262956,0.06002,0.968504,False
7,SpikeEvent,GMM,A-Estadistico,0.099004,0.0,0.968504,False
8,normal,GMM,A-Estadistico,0.160227,0.0,0.968504,False
8,PartialBypass,GMM,A-Estadistico,0.074213,0.0,0.968504,False
8,Smoothing,GMM,A-Estadistico,0.090567,0.0,0.968504,False
8,FlipSchedule,GMM,A-Estadistico,0.317706,0.129921,0.968504,False
