Detector,Familia,DR_global,AR_global,tau,TipoAnomalia,DR_tipo,n_tipo,n_orig,muestra
SigMaHaKNN_d4_k10,Signatures,0.1339,0.1003,0.054,SyntheticNoise,0.25,16,349,monthly
SigMaHaKNN_d4_k10,Signatures,0.1339,0.1003,0.054,FlatLine,0.1875,16,349,monthly
SigMaHaKNN_d4_k10,Signatures,0.1339,0.1003,0.054,SpikeEvent,0.25,16,349,monthly
SigMaHaKNN_d4_k20,Signatures,0.1429,0.1003,0.199,PartialBypass,0.125,16,349,monthly
SigMaHaKNN_d4_k20,Signatures,0.1429,0.1003,0.199,Smoothing,0.0,16,349,monthly
SigMaHaKNN_d4_k20,Signatures,0.1429,0.1003,0.199,FlipSchedule,0.1875,16,349,monthly
SigMaHaKNN_d4_k20,Signatures,0.1429,0.1003,0.199,SuddenDrop,0.0,16,349,monthly
SigMaHaKNN_d4_k20,Signatures,0.1429,0.1003,0.199,SyntheticNoise,0.1875,16,349,monthly
SigMaHaKNN_d4_k20,Signatures,0.1429,0.1003,0.199,FlatLine,0.25,16,349,monthly
SigMaHaKNN_d4_k20,Signatures,0.1429,0.1003,0.199,SpikeEvent,0.25,16,349,monthly
SigKernel_d4,Signatures,0.0804,0.1003,0.963,PartialBypass,0.0625,16,349,monthly
SigKernel_d4,Signatures,0.0804,0.1003,0.963,Smoothing,0.0,16,349,monthly
SigKernel_d4,Signatures,0.0804,0.1003,0.963,FlipSchedule,0.0625,16,349,monthly
SigKernel_d4,Signatures,0.0804,0.1003,0.963,SuddenDrop,0.0,16,349,monthly
SigKernel_d4,Signatures,0.0804,0.1003,0.963,SyntheticNoise,0.125,16,349,monthly
SigKernel_d4,Signatures,0.0804,0.1003,0.963,FlatLine,0.125,16,349,monthly
SigKernel_d4,Signatures,0.0804,0.1003,0.963,SpikeEvent,0.1875,16,349,monthly
